Address,Opcode,Category,isBranch,isControlFlow,isMemoryRead,isMemoryWrite,isCall,Read_Regsiters,Write_Registers
4240701,MOV,DATAXFER,0,0,0,0,0,R[8],W[13]
4240704,MOVSXD,DATAXFER,0,0,0,0,0,R[12],W[12]
4240707,LEA,MISC,0,0,0,0,0,R[10 12],W[10]
4240711,LEA,MISC,0,0,0,0,0,R[10 8],W[4]
4240715,MOV,DATAXFER,0,0,1,0,0,R[6],W[8]
4240720,CMP,BINARY,0,0,0,0,0,R[10 4],W[25]
4240723,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
4240725,NOP,WIDENOP,0,0,0,0,0,R[10 10],W[]
4240728,ADD,BINARY,0,0,0,0,0,R[10],W[10 25]
4240732,MOVSXD,DATAXFER,0,0,1,0,0,R[10],W[9]
4240736,ADD,BINARY,0,0,0,0,0,R[8],W[8 25]
4240740,MOV,DATAXFER,0,0,1,0,0,R[18 9],W[9]
4240744,MOV,DATAXFER,0,0,0,1,0,R[8 9],W[]
4240747,CMP,BINARY,0,0,0,0,0,R[4 10],W[25]
4240750,JNZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
4240752,MOV,DATAXFER,0,0,1,0,0,R[6],W[10]
4240756,MOV,DATAXFER,0,0,1,0,0,R[6],W[12]
4240761,MOV,DATAXFER,0,0,0,0,0,R[14],W[4]
4240764,MOV,DATAXFER,0,0,1,0,0,R[6],W[11]
4240769,MOVSXD,DATAXFER,0,0,1,0,0,R[3 10],W[8]
4240773,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
4240780,MOV,DATAXFER,0,0,1,0,0,R[17],W[3]
4240784,LEA,MISC,0,0,0,0,0,R[10 8],W[9]
4240788,MOV,DATAXFER,0,0,0,0,0,R[13],W[8]
4240791,XOR,LOGICAL,0,0,0,0,0,R[10 10],W[10 25]
4240793,CALL_NEAR,CALL,0,1,0,1,1,R[26 6],W[26 6]
4240728,ADD,BINARY,0,0,0,0,0,R[10],W[10 25]
4240732,MOVSXD,DATAXFER,0,0,1,0,0,R[10],W[9]
4240736,ADD,BINARY,0,0,0,0,0,R[8],W[8 25]
4240740,MOV,DATAXFER,0,0,1,0,0,R[18 9],W[9]
4240744,MOV,DATAXFER,0,0,0,1,0,R[8 9],W[]
4240747,CMP,BINARY,0,0,0,0,0,R[4 10],W[25]
4240750,JNZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
4240752,MOV,DATAXFER,0,0,1,0,0,R[6],W[10]
4240756,MOV,DATAXFER,0,0,1,0,0,R[6],W[12]
4240761,MOV,DATAXFER,0,0,0,0,0,R[14],W[4]
4240764,MOV,DATAXFER,0,0,1,0,0,R[6],W[11]
4240769,MOVSXD,DATAXFER,0,0,1,0,0,R[3 10],W[8]
4240773,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
4240780,MOV,DATAXFER,0,0,1,0,0,R[17],W[3]
4240784,LEA,MISC,0,0,0,0,0,R[10 8],W[9]
4240788,MOV,DATAXFER,0,0,0,0,0,R[13],W[8]
4240791,XOR,LOGICAL,0,0,0,0,0,R[10 10],W[10 25]
4240793,CALL_NEAR,CALL,0,1,0,1,1,R[26 6],W[26 6]
4234848,TEST,LOGICAL,0,0,0,0,0,R[4 4],W[25]
4234850,JLE,COND_BR,1,1,0,0,0,R[26 25],W[26]
4234856,MOVSXD,DATAXFER,0,0,0,0,0,R[8],W[8]
4234859,LEA,MISC,0,0,0,0,0,R[12],W[10]
4234863,PUSH,PUSH,0,0,0,1,0,R[15 6],W[6]
4234865,LEA,MISC,0,0,0,0,0,R[12 8],W[14]
4234869,PUSH,PUSH,0,0,0,1,0,R[5 6],W[6]
4234870,PUSH,PUSH,0,0,0,1,0,R[7 6],W[6]
4234871,MOV,DATAXFER,0,0,0,0,0,R[14],W[7]
4234874,SUB,BINARY,0,0,0,0,0,R[7 10],W[7 25]
